"Name"	"Score"	"freq_up"
"CRLF2"	"CRLF2"	0.0220570282122495	3
"RP11-61A14.4"	"RP11-61A14.4"	0.022200410396828	3
"PRSS33"	"PRSS33"	0.0234245019319229	2
"LL21NC02-21A1.1"	"LL21NC02-21A1.1"	0.023818830710999	3
"RP11-401P9.7"	"RP11-401P9.7"	0.0243647631768527	3
"ATP5C1P1"	"ATP5C1P1"	0.0245029473977995	3
"AC064875.2"	"AC064875.2"	0.0245281799308978	2
"RP11-230C9.2"	"RP11-230C9.2"	0.0245281799308978	2
"MTCO2P12"	"MTCO2P12"	0.0247458481485726	3
"SKINTL"	"SKINTL"	0.0247458481485726	2
"PDZD3"	"PDZD3"	0.0252000395689679	3
"RP11-120K24.3"	"RP11-120K24.3"	0.0252783005055935	3
"RARB"	"RARB"	0.0255140551641668	3
"LINC01348"	"LINC01348"	0.0255165413321629	3
"RP11-206P5.2"	"RP11-206P5.2"	0.0259061441931801	3
"KRT71"	"KRT71"	0.0259061441931801	2
"RP11-455J20.3"	"RP11-455J20.3"	0.0260698399440508	3
"RP11-796E2.4"	"RP11-796E2.4"	0.0261020085204952	2
"HEY2"	"HEY2"	0.0264094054726921	1
"TCF21"	"TCF21"	0.0264094054726921	2
"LINC01460"	"LINC01460"	0.0266938490765261	2
"RP11-330O11.3"	"RP11-330O11.3"	0.0268777329273309	3
"FAM71F1"	"FAM71F1"	0.0276943885178312	2
"UPF3AP3"	"UPF3AP3"	0.0278966141734253	2
"HNRNPH1P1"	"HNRNPH1P1"	0.0281206010797686	3
"RP11-310P5.1"	"RP11-310P5.1"	0.0283031805765203	2
"RP11-699L21.1"	"RP11-699L21.1"	0.0285075206551644	2
"ZNF300"	"ZNF300"	0.0291247643863436	2
"RP11-435O5.4"	"RP11-435O5.4"	0.0291247643863436	3
"AC009238.7"	"AC009238.7"	0.0293319190137245	2
"RP5-875H18.9"	"RP5-875H18.9"	0.0295397764422189	3
"CTD-3220F14.3"	"CTD-3220F14.3"	0.0298365566887234	3
"RNU4ATAC18P"	"RNU4ATAC18P"	0.0298365566887234	3
"RP11-351D16.3"	"RP11-351D16.3"	0.0301694774332158	2
"AC005355.3"	"AC005355.3"	0.0303782274787639	2
"RP11-338E21.2"	"RP11-338E21.2"	0.0305420227499286	3
"RP11-434E6.4"	"RP11-434E6.4"	0.0305895938964005	3
"RNU6-481P"	"RNU6-481P"	0.0308016611085805	2
"LINC00880"	"LINC00880"	0.0308988879768467	3
"XXbac-BPG157A10.21"	"XXbac-BPG157A10.21"	0.0310783583213812	3
"RP11-280G9.1"	"RP11-280G9.1"	0.0312278965788578	2
"USP6"	"USP6"	0.0318945775386626	3
"KRT6A"	"KRT6A"	0.0320887623390882	2
"LINC00158"	"LINC00158"	0.0323057257490797	3
"RP11-223A3.1"	"RP11-223A3.1"	0.0323541465664353	3
"RP11-115J16.1"	"RP11-115J16.1"	0.0325233872781881	2
"KRTAP5-10"	"KRTAP5-10"	0.0327417465919851	2
"SLCO6A1"	"SLCO6A1"	0.0329608033560425	2
"CTD-2650P22.2"	"CTD-2650P22.2"	0.0334010078972248	3
"CASP1"	"CASP1"	0.0339263783444142	1
"SLC4A8"	"SLC4A8"	0.0339263783444142	1
"CPLX2"	"CPLX2"	0.0342365672156983	3
"RP11-650P15.1"	"RP11-650P15.1"	0.034963644313599	2
"RP11-36B15.1"	"RP11-36B15.1"	0.0354984709723431	3
"CTD-2331H12.7"	"CTD-2331H12.7"	0.0355968046311327	3
"IL32"	"IL32"	0.0358036400745517	1
"CTD-3001H11.2"	"CTD-3001H11.2"	0.0358036400745517	2
"RP11-394I13.2"	"RP11-394I13.2"	0.0358718570975891	3
"IBA57-AS1"	"IBA57-AS1"	0.0377215141388202	3
"RP11-295H24.3"	"RP11-295H24.3"	0.0379558301982391	3
"LINC01239"	"LINC01239"	0.038190836016067	2
"AC002398.13"	"AC002398.13"	0.038190836016067	3
"TESC"	"TESC"	0.0386629155892363	2
"RP11-145M9.5"	"RP11-145M9.5"	0.0386629155892363	2
"RNVU1-3"	"RNVU1-3"	0.0388401876806887	3
"RP5-1007F24.1"	"RP5-1007F24.1"	0.0392589462255511	3
"RP11-1029J19.5"	"RP11-1029J19.5"	0.0395557869199744	2
"RP11-496B10.3"	"RP11-496B10.3"	0.0398551618843337	2
"AC005592.3"	"AC005592.3"	0.0398551618843337	3
"CTD-3035K23.7"	"CTD-3035K23.7"	0.0408213284206645	2
"RP11-176D17.3"	"RP11-176D17.3"	0.0413085274981578	3
"RP11-1212A22.4"	"RP11-1212A22.4"	0.0414306723696878	2
"RP11-1029J19.4"	"RP11-1029J19.4"	0.041798466881301	3
"RP11-214K3.23"	"RP11-214K3.23"	0.0418348542709958	3
"SLC39A12"	"SLC39A12"	0.0419445610008603	3
"RP11-319G9.3"	"RP11-319G9.3"	0.0427865558628308	3
"TMEM88"	"TMEM88"	0.0430352866188905	2
"RP11-25K19.1"	"RP11-25K19.1"	0.0430521953983309	3
"PLB1"	"PLB1"	0.0437855739618415	2
"CTB-55O6.8"	"CTB-55O6.8"	0.0440370336529882	2
"RP11-1275H24.2"	"RP11-1275H24.2"	0.0441791597526678	3
"RPL12P42"	"RPL12P42"	0.0442891747418358	2
"RP11-799B12.4"	"RP11-799B12.4"	0.0444068869332052	3
"RIBC1"	"RIBC1"	0.044541996893956	3
"UPP2"	"UPP2"	0.044541996893956	2
"AC010524.4"	"AC010524.4"	0.0453045463856695	2
