"","x"
"369","""HIBADH"""
"370","""PAK1"""
"371","""C15orf48"""
"372","""MAGOH"""
"373","""ZNF468"""
"374","""MACF1"""
"375","""KRR1"""
"376","""PGLYRP3"""
"377","""RP3-523K23.2"""
"378","""SNHG5"""
"379","""SMARCC2"""
"380","""UQCC1"""
"381","""PUSL1"""
"382","""RGS20"""
"383","""GALNT3"""
"384","""GBP2"""
"385","""RPL28"""
"386","""VEZF1"""
"387","""MACROD1"""
"388","""DYRK1B"""
"389","""SORT1"""
"390","""CHD3"""
"391","""PTPN23"""
"392","""LIG1"""
"393","""UQCRB"""
"394","""CAPN2"""
"395","""GGT7"""
"396","""FIRRE"""
"397","""S100A14"""
"398","""RP11-281P23.2"""
"399","""PRRG4"""
"400","""HMOX2"""
"401","""SHC1"""
"402","""GCNT2"""
"403","""SNORD14E"""
"404","""LGALS3BP"""
"405","""CNN3"""
"406","""CYTH1"""
"407","""PLEKHG3"""
"408","""SPP1"""
"409","""FRMD5"""
"410","""WBP1L"""
"411","""EIF4EBP1"""
"412","""NDUFS3"""
"413","""DNASE2"""
"414","""AL354822.1"""
"415","""NLK"""
"416","""DHRS7"""
"417","""POMP"""
"418","""PSME1"""
"419","""BAG1"""
"420","""HSD17B11"""
"421","""PICALM"""
"422","""HLA-DPB1"""
"423","""COMTD1"""
"424","""DYNLL1"""
"425","""NTNG2"""
"426","""SYNGR1"""
"427","""SCAF4"""
"428","""ITGB3BP"""
"429","""CXADR"""
"430","""ZNF248"""
"431","""KRTAP5-AS1"""
"432","""FAU"""
"433","""RBM47"""
"434","""RPL13P12"""
"435","""CNOT8"""
"436","""RNF224"""
"437","""CEMIP"""
"438","""SLC24A4"""
"439","""VANGL2"""
"440","""PSEN1"""
"441","""RPS20"""
"442","""LINC01615"""
"443","""PDCD2L"""
"444","""AHDC1"""
"445","""KRT17"""
"446","""CDKN3"""
"447","""SLC25A23"""
"448","""BMP5"""
"449","""OAS1"""
"450","""PURB"""
"451","""MYO1C"""
"452","""GRHL3"""
"453","""FUBP1"""
"454","""RNF13"""
"455","""MRAP2"""
"456","""ZNF680"""
"457","""RPL37"""
"458","""KCTD3"""
"459","""GOLGB1"""
"460","""AKAP3"""
"461","""DGCR2"""
"462","""METTL7B"""
"463","""GUCD1"""
"464","""MYOF"""
"465","""IGFBP5"""
"466","""EXOC1"""
"467","""TMEM216"""
"468","""GABRE"""
"469","""HELZ2"""
"470","""PLSCR1"""
"471","""LIPH"""
"472","""GCLC"""
"473","""MIR2117HG"""
"474","""PLGRKT"""
"475","""MTUS2"""
"476","""RPS26"""
"477","""LL22NC03-86G7.1"""
"478","""TBC1D4"""
"479","""PDHB"""
"480","""C19orf70"""
"481","""PARK7"""
"482","""FAM104B"""
"483","""ITPK1"""
"484","""OGFR"""
"485","""JAG1"""
"486","""DPEP2"""
"487","""MARCH1"""
"488","""FTCD"""
"489","""KLF5"""
"490","""RP4-706A16.3"""
"491","""ARHGEF38-IT1"""
"492","""TMTC1"""
"493","""LYST"""
"494","""SLPI"""
"495","""RHOC"""
"496","""FBXL17"""
"497","""USP53"""
"498","""TBC1D20"""
"499","""ZNF391"""
"500","""FHAD1"""
"501","""FAM35A"""
"502","""KDELR1"""
"503","""SERTAD4"""
"504","""RPSAP58"""
"505","""PSMB7"""
"506","""CCM2"""
"507","""ATP5J"""
"508","""FAM189B"""
"509","""RAB22A"""
"510","""CAB39"""
"511","""NEU1"""
"512","""ABI1"""
"513","""KMT2C"""
"514","""CXCL16"""
"515","""IGFBP2"""
"516","""LDLRAP1"""
"517","""RP11-111M22.2"""
"518","""PBDC1"""
"519","""BEX2"""
"520","""COQ3"""
"521","""THOC7"""
"522","""COQ7"""
"523","""PTK2B"""
"524","""SLC2A8"""
"525","""SPACA4"""
"526","""ITGA5"""
"527","""C15orf39"""
"528","""UQCR10"""
"529","""TUFT1"""
"530","""RPS19"""
"531","""FAM92B"""
"532","""CHCHD2"""
"533","""ATP6V0E1"""
"534","""CEBPD"""
"535","""KIF18A"""
"536","""APBB1"""
"537","""C16orf52"""
"538","""RAB11A"""
"539","""ZNF347"""
"540","""NAV2"""
"541","""ETV5"""
"542","""SPINT2"""
