"Name" "Score" "freq_dw"
"HSP90AA1" "HSP90AA1" 0.0293841127558337 1
"AC005154.7" "AC005154.7" 0.0297792781511807 1
"SLC13A4" "SLC13A4" 0.0302650452188517 NA
"CRYBG3" "CRYBG3" 0.0303102714189069 4
"ARL10" "ARL10" 0.0308903451276352 5
"AC010761.9" "AC010761.9" 0.0311874390551418 6
"RP11-661A12.8" "RP11-661A12.8" 0.0312391667833288 NA
"AGRN" "AGRN" 0.0313650156952879 1
"MXRA8" "MXRA8" 0.0313977383848181 NA
"CENPC" "CENPC" 0.0316383841132571 2
"CTD-2537I9.13" "CTD-2537I9.13" 0.0316538385860201 2
"RP11-23P13.6" "RP11-23P13.6" 0.0316830965515135 NA
"RP5-991G20.2" "RP5-991G20.2" 0.0316830965515135 NA
"CFAP44" "CFAP44" 0.0316830965515135 1
"MLLT3" "MLLT3" 0.0316830965515135 NA
"RP11-33E12.2" "RP11-33E12.2" 0.0316830965515135 NA
"LYG1" "LYG1" 0.0318585375728066 NA
"DSTNP1" "DSTNP1" 0.0326550668837836 2
"CPNE7" "CPNE7" 0.0326944263503645 1
"GOLGA6L10" "GOLGA6L10" 0.0328887261549652 3
"TMPRSS9" "TMPRSS9" 0.0329586551403498 NA
"CYP2D8P" "CYP2D8P" 0.03359321924291 1
"RP1-257A7.4" "RP1-257A7.4" 0.033964237708076 NA
"AC093642.3" "AC093642.3" 0.0346618462223409 1
"PMS1" "PMS1" 0.0347166007634953 NA
"CYP2D7" "CYP2D7" 0.0347702490958297 4
"RN7SL809P" "RN7SL809P" 0.034878934341824 NA
"MSH5" "MSH5" 0.0349933539158071 NA
"AC000123.3" "AC000123.3" 0.0349933539158071 5
"GOLGA8O" "GOLGA8O" 0.0352056177980184 1
"TTC3" "TTC3" 0.0360421336783432 NA
"SLC17A9" "SLC17A9" 0.0362389193697583 NA
"SNORD99" "SNORD99" 0.0362598876073026 NA
"PABPC1L" "PABPC1L" 0.0365460812835465 NA
"RP5-1126H10.2" "RP5-1126H10.2" 0.0368340149141444 NA
"CTAGE8" "CTAGE8" 0.0369786364823798 1
"RP5-1142A6.2" "RP5-1142A6.2" 0.0376895730067782 NA
"SH3GL1P1" "SH3GL1P1" 0.0381071764620938 NA
"RP11-331F4.5" "RP11-331F4.5" 0.0382489078914805 NA
"VGF" "VGF" 0.0388821388768392 NA
"FANCB" "FANCB" 0.0390986979981977 3
"LTK" "LTK" 0.0395820479875931 NA
"PLEKHA5" "PLEKHA5" 0.0395820479875931 NA
"GABPB1-AS1" "GABPB1-AS1" 0.0395820479875931 2
"PTPRVP" "PTPRVP" 0.0403366551580166 NA
"ATAD2" "ATAD2" 0.0404540256348887 2
"NBEAL1" "NBEAL1" 0.0405829741705499 NA
"RP11-437B10.1" "RP11-437B10.1" 0.0406864701750436 NA
"RP11-365N19.2" "RP11-365N19.2" 0.0408951142709363 NA
"LINC00106" "LINC00106" 0.0414345157200453 NA
"GOLGA8A" "GOLGA8A" 0.0418128146137338 3
"MAGEB17" "MAGEB17" 0.0419395520227894 NA
"PAQR6" "PAQR6" 0.0420021967177148 NA
"OTUD6B-AS1" "OTUD6B-AS1" 0.0420021967177148 NA
"CIR1" "CIR1" 0.0424836654521349 1
"CFP" "CFP" 0.042539769273651 3
"CTC-479C5.12" "CTC-479C5.12" 0.0428665509882579 1
"KMT2E-AS1" "KMT2E-AS1" 0.0428665509882579 NA
"RP11-242D8.1" "RP11-242D8.1" 0.0428938593433835 NA
"IPO4" "IPO4" 0.0429693737511773 1
"OR51B5" "OR51B5" 0.0430946647516236 NA
"NPIPB3" "NPIPB3" 0.0432497776081168 NA
"ARHGAP33" "ARHGAP33" 0.0436236237457829 1
"DDR2" "DDR2" 0.0437883780766513 2
"ACVR1C" "ACVR1C" 0.0439536110371055 4
"KIF5B" "KIF5B" 0.0439536110371055 NA
"ANKRD36" "ANKRD36" 0.0440113070765438 3
"ASMTL-AS1" "ASMTL-AS1" 0.0442761687314551 1
"BEST4" "BEST4" 0.0445112020120014 1
"SLC28A2" "SLC28A2" 0.0450569049714021 NA
"AC133644.2" "AC133644.2" 0.0453489381532121 4
"RP11-54O7.1" "RP11-54O7.1" 0.0454238601213188 NA
"KIF21A" "KIF21A" 0.0461405592836587 NA
"RP11-22B23.1" "RP11-22B23.1" 0.0464901889960371 NA
"RP11-757F18.5" "RP11-757F18.5" 0.0468592915855572 NA
"LA16c-390E6.4" "LA16c-390E6.4" 0.0470107370851341 NA
"PPP2R3B" "PPP2R3B" 0.0474722857440936 NA
"GLMN" "GLMN" 0.0474722857440936 3
"RP11-553L6.5" "RP11-553L6.5" 0.0474722857440936 NA
"LTV1" "LTV1" 0.0474722857440936 NA
"S100A2" "S100A2" 0.0474722857440936 NA
"NOL10" "NOL10" 0.0474722857440936 NA
"GPR89B" "GPR89B" 0.0476645654077743 1
"ANKDD1B" "ANKDD1B" 0.0477006336449148 2
"RN7SKP150" "RN7SKP150" 0.0478871253651957 NA
"AP001628.6" "AP001628.6" 0.0478871253651957 2
"AOC3" "AOC3" 0.0482427833847184 1
"MSLNL" "MSLNL" 0.0484113331545019 NA
"AC021218.2" "AC021218.2" 0.0484263898242763 2
"RNU6-850P" "RNU6-850P" 0.0485219097191339 NA
"CTD-2353F22.2" "CTD-2353F22.2" 0.0486980727159769 2
"CEP350" "CEP350" 0.0491379053708184 1
"SEC31B" "SEC31B" 0.0496810725223964 NA
"ADAM8" "ADAM8" 0.0507569777323704 1
"MBOAT1" "MBOAT1" 0.0507569777323704 NA
"LINC00479" "LINC00479" 0.0508940738704247 NA
"KB-1460A1.5" "KB-1460A1.5" 0.0511930103287464 NA
"CYP2E1" "CYP2E1" 0.0513382961662172 4
"OR51B4" "OR51B4" 0.0513778046778729 NA
"RP13-128O4.3" "RP13-128O4.3" 0.0517122656267338 NA
"AC083843.4" "AC083843.4" 0.0517952743244354 1
"GOLGB1" "GOLGB1" 0.0519467593017161 2
"SCG5" "SCG5" 0.0519467593017161 NA
"SLTM" "SLTM" 0.0524664792133231 NA
"CCDC78" "CCDC78" 0.0531659015126784 1
"PPP1R32" "PPP1R32" 0.0532291118261244 NA
"DNAH14" "DNAH14" 0.053562218154243 1
"CWF19L2" "CWF19L2" 0.0542637214542413 2
"ANKRD10-IT1" "ANKRD10-IT1" 0.054380904848898 1
"AC006116.20" "AC006116.20" 0.054584168455391 1
"CCDC68" "CCDC68" 0.054584168455391 1
"ZNF28" "ZNF28" 0.0547931278527642 NA
"ZDBF2" "ZDBF2" 0.0553538175126658 NA
"ZNF268" "ZNF268" 0.0553538175126658 NA
"SPEF2" "SPEF2" 0.0553538175126658 NA
"CDH24" "CDH24" 0.0553538175126658 1
"LTN1" "LTN1" 0.0556947729745931 NA
"RP3-402G11.25" "RP3-402G11.25" 0.0560170176555159 NA
"ADORA2A-AS1" "ADORA2A-AS1" 0.0560413504778578 4
"MNS1" "MNS1" 0.0561787217110117 NA
"BX470102.3" "BX470102.3" 0.0561846482463192 1
"MST1P2" "MST1P2" 0.0564538206263102 NA
"KIAA1107" "KIAA1107" 0.0568294334628517 NA
"NABP1" "NABP1" 0.0573735863760124 NA
"DGKH" "DGKH" 0.0577327136008201 1
"ASB14" "ASB14" 0.0581497117240079 1
"RP5-855D21.1" "RP5-855D21.1" 0.0584837446012323 NA
"CTC-260F20.3" "CTC-260F20.3" 0.0586019636697174 3
"SNORD63" "SNORD63" 0.0586513597120134 NA
"SDR16C5" "SDR16C5" 0.0586998999633921 NA
