"Name" "Score" "freq_up"
"KCNN3" "KCNN3" 0.275836622319212 3
"RP11-474O21.5" "RP11-474O21.5" 0.27670866349979 2
"DLC1" "DLC1" 0.282934864228785 1
"SLC30A10" "SLC30A10" 0.282934864228785 1
"CLDN9" "CLDN9" 0.282934864228785 1
"KLF14" "KLF14" 0.284316545838682 3
"LY6D" "LY6D" 0.302711374751481 1
"NCMAP" "NCMAP" 0.310620412458671 4
"SYTL5" "SYTL5" 0.316489281972572 2
"ZNF772" "ZNF772" 0.322430843176847 1
"MT-ATP8" "MT-ATP8" 0.322950894088365 4
"FAM189A1" "FAM189A1" 0.32676517908525 2
"RP11-817O13.8" "RP11-817O13.8" 0.32676517908525 2
"TRGV5" "TRGV5" 0.328876707541677 4
"BTG1" "BTG1" 0.334556160788214 4
"PCDHB13" "PCDHB13" 0.335090185543785 3
"SLC2A12" "SLC2A12" 0.338220924627329 4
"ACSM1" "ACSM1" 0.341367660175717 3
"RP4-568C11.4" "RP4-568C11.4" 0.342093401203731 3
"TOB2P1" "TOB2P1" 0.354114500793498 3
"RASD2" "RASD2" 0.356119004595186 4
"OAS1" "OAS1" 0.358361298668319 3
"ALPL" "ALPL" 0.358361298668319 2
"RP11-1007O24.3" "RP11-1007O24.3" 0.361029236969792 4
"CNTNAP2" "CNTNAP2" 0.361699180302801 1
"C20orf196" "C20orf196" 0.367116983172376 3
"ANKH" "ANKH" 0.367116983172376 3
"AC144450.2" "AC144450.2" 0.369144268782291 3
"CCL24" "CCL24" 0.381248311716807 1
"ARSB" "ARSB" 0.38709930524283 4
"ILDR1" "ILDR1" 0.39048544745558 3
"LAPTM5" "LAPTM5" 0.400740926460844 2
"FP671120.4" "FP671120.4" 0.400740926460844 1
"RP11-318A15.2" "RP11-318A15.2" 0.400740926460844 2
"CD22" "CD22" 0.400740926460844 1
"BCL11A" "BCL11A" 0.402224334899375 3
"TGFB1" "TGFB1" 0.418146675872355 3
"ZNF750" "ZNF750" 0.419166201331707 2
"NANOS1" "NANOS1" 0.420177155322617 3
"PPARG" "PPARG" 0.420177155322617 1
"RP11-707O23.5" "RP11-707O23.5" 0.42167570746705 3
"SP5" "SP5" 0.428781248859887 4
"TMEM211" "TMEM211" 0.430606142991648 2
"ITPKB" "ITPKB" 0.431606274928051 4
"CCR3" "CCR3" 0.439557128862703 2
"PLAU" "PLAU" 0.439557128862703 1
"IGFBP3" "IGFBP3" 0.443181942141895 3
"NPTXR" "NPTXR" 0.446821551425117 4
"B3GALT5-AS1" "B3GALT5-AS1" 0.453828175816514 2
"NUAK1" "NUAK1" 0.456933656280975 4
"IL20RA" "IL20RA" 0.458880977414814 1
"GPR176" "GPR176" 0.462685972949949 4
"SMIM3" "SMIM3" 0.465607303130451 3
"DBH-AS1" "DBH-AS1" 0.465607303130451 3
"TRPM8" "TRPM8" 0.465607303130451 2
"KLRD1" "KLRD1" 0.471538250568776 2
"MT-TY" "MT-TY" 0.474326535571143 4
"FAM92B" "FAM92B" 0.476504372117028 3
"TRIM29" "TRIM29" 0.478148831086061 1
"GJD3" "GJD3" 0.483481999347766 2
"RP11-1252D15.1" "RP11-1252D15.1" 0.516504073424342 4
"CD74" "CD74" 0.516517073082975 2
"ZNF665" "ZNF665" 0.516517073082975 1
"PSKH1" "PSKH1" 0.51895131991404 3
"CD24" "CD24" 0.53232184279627 3
"FAM198B" "FAM198B" 0.535617720492221 1
"NOX5" "NOX5" 0.535617720492221 1
"ADORA1" "ADORA1" 0.53843581342732 4
"RP5-1148A21.3" "RP5-1148A21.3" 0.554662891188284 2
"ETV5" "ETV5" 0.563269816298319 3
"GSTA4" "GSTA4" 0.563682889716203 3
"SPNS2" "SPNS2" 0.563682889716203 2
"IFITM10" "IFITM10" 0.571526924193956 3
"AQP3" "AQP3" 0.573652714149208 1
"RP11-259N19.1" "RP11-259N19.1" 0.573652714149208 2
"RPLP0P2" "RPLP0P2" 0.573652714149208 3
"MSX1" "MSX1" 0.573652714149208 1
"PIK3IP1" "PIK3IP1" 0.579844931484908 3
"POC1B-GALNT4" "POC1B-GALNT4" 0.588223672915208 3
"ACOX2" "ACOX2" 0.592587318128006 2
"MARCKSL1" "MARCKSL1" 0.596662979455472 3
"FAM131B" "FAM131B" 0.605162678337089 3
"B4GALT5" "B4GALT5" 0.607634380535497 4
"C1QL1" "C1QL1" 0.609435119901659 3
"VCAN" "VCAN" 0.611466831652929 1
"RP11-567G11.1" "RP11-567G11.1" 0.615134477732002 2
"KIF3C" "KIF3C" 0.61802507525846 3
"PDGFRL" "PDGFRL" 0.62234254355822 3
"RNF152" "RNF152" 0.628233733325949 2
"TIMP3" "TIMP3" 0.630291383027723 1
"SERPING1" "SERPING1" 0.63102234597067 3
"SLC1A4" "SLC1A4" 0.635384633236424 3
"CCDC92" "CCDC92" 0.644153861094761 3
"STOM" "STOM" 0.649061100331893 1
"CHST13" "CHST13" 0.666336273968293 3
"PRR15" "PRR15" 0.666336273968293 3
"MRVI1" "MRVI1" 0.667776111420963 2
"HAS3" "HAS3" 0.667776111420963 1
"RASSF2" "RASSF2" 0.670817016957492 3
"PRKG1-AS1" "PRKG1-AS1" 0.686436543926738 1
"AC137932.6" "AC137932.6" 0.686436543926738 1
"ZHX2" "ZHX2" 0.688886675260671 3
"TP53INP1" "TP53INP1" 0.693440631234976 3
"ALDH3B2" "ALDH3B2" 0.695080500964046 2
"RP11-353N14.5" "RP11-353N14.5" 0.701885007323794 3
"CHST4" "CHST4" 0.705042525257566 1
"NPFFR1" "NPFFR1" 0.705042525257566 2
"CITED4" "CITED4" 0.707189774338182 3
"BCL11B" "BCL11B" 0.711801823833493 3
"RGMA" "RGMA" 0.721069261473195 3
"BCL2L14" "BCL2L14" 0.722424649855179 3
"AFAP1L2" "AFAP1L2" 0.722424649855179 2
"AC011330.5" "AC011330.5" 0.723594182598597 1
"NFIA" "NFIA" 0.723594182598597 1
"H19" "H19" 0.736221225845814 2
"ABCA12" "ABCA12" 0.742091642912044 1
"FAM20C" "FAM20C" 0.742091642912044 1
"RSPH1" "RSPH1" 0.743150074280997 2
"DCLK1" "DCLK1" 0.760535032937447 1
"TNKS2-AS1" "TNKS2-AS1" 0.760535032937447 3
"FYN" "FYN" 0.76826590345871 3
"TMEM171" "TMEM171" 0.771065471116768 2
"PCCA" "PCCA" 0.778924479191928 1
"SRPX" "SRPX" 0.778924479191928 1
"DEXI" "DEXI" 0.782701396334887 3
"TMEM229B" "TMEM229B" 0.792207578158327 2
"ORAI3" "ORAI3" 0.792395211392005 3
"CHRFAM7A" "CHRFAM7A" 0.797260107970456 2
"FERMT1" "FERMT1" 0.797263073240881 3
"SCD5" "SCD5" 0.802144863477174 3
"WDR31" "WDR31" 0.802144863477174 3
"C15orf56" "C15orf56" 0.811950104516153 3
"CHST6" "CHST6" 0.811950104516153 3
"LHFP" "LHFP" 0.815542045346106 1
"RND2" "RND2" 0.831726346370532 3
"FPR1" "FPR1" 0.831726346370532 3
"RP11-92K15.3" "RP11-92K15.3" 0.833770417170318 1
"ZNF850" "ZNF850" 0.833770417170318 1
"UST" "UST" 0.836704754140178 3
"PRR15L" "PRR15L" 0.849413455524605 3
"RP5-1024G6.5" "RP5-1024G6.5" 0.849413455524605 3
"PARM1" "PARM1" 0.851721893653449 3
