"","x"
"460","CASD1"
"461","RP11-793H13.10"
"462","CARF"
"463","ZFHX2"
"464","UBA52"
"465","VPS45"
"466","ZNF443"
"467","SERPINI1"
"468","ZNF182"
"469","RP1-137D17.2"
"470","RP11-368I7.4"
"471","TXNL1"
"472","CINP"
"473","FN3K"
"474","RP11-796G6.1"
"475","GOLGA6L10"
"476","CREBRF"
"477","ZNF320"
"478","RTN1"
"479","TYK2"
"480","CCDC64"
"481","BAIAP2L2"
"482","POLR3D"
"483","VRK1"
"484","WASH2P"
"485","EMD"
"486","TRIM13"
"487","FBF1"
"488","MYRFL"
"489","SLC27A3"
"490","KLHL31"
"491","RPL36"
"492","DCDC1"
"493","MYO1E"
"494","DNAI1"
"495","MSL3"
"496","GSDMB"
"497","FAM214A"
"498","GRIN2C"
"499","ZNF761"
"500","NECAB1"
"501","DCBLD2"
"502","VPS9D1"
"503","TSHZ1"
"504","VASH2"
"505","TESK2"
"506","RPTOR"
"507","COX5A"
"508","CDC42EP4"
"509","TRABD2A"
"510","PURA"
"511","TXNL4A"
"512","RBM6"
"513","NTRK1"
"514","RP3-355L5.4"
"515","TUBG2"
"516","GNG12-AS1"
"517","DOC2A"
"518","RERE"
"519","HMGB2"
"520","SAT2"
"521","OR2A9P"
"522","BANK1"
"523","HLA-DMA"
"524","CTD-2561J22.2"
"525","NPHP1"
"526","PRDM16"
"527","MT-TG"
"528","STX10"
"529","CEP131"
"530","RP11-250B2.3"
"531","YOD1"
"532","SLMAP"
"533","SLCO6A1"
"534","SUPT7L"
"535","IQGAP2"
"536","GCA"
"537","ZNF74"
"538","CCDC14"
"539","RPS11"
"540","MGEA5"
"541","TK2"
"542","TRAPPC13"
"543","VWCE"
"544","HIBADH"
"545","SPATA20"
"546","PCP2"
"547","KLF16"
"548","MMS19"
"549","NBPF12"
"550","DLL1"
"551","NUMA1"
"552","C4orf48"
"553","PPP1R12C"
"554","FASTK"
"555","C7orf43"
"556","WASH1"
"557","TBC1D17"
"558","RNF103"
"559","RP11-350N15.4"
"560","THSD1"
"561","HERC2P2"
"562","CTD-2547L24.3"
"563","CD46"
"564","PLEKHH1"
"565","DCAF5"
"566","ABCC5"
"567","SMIM10L2A"
"568","CCNL2"
"569","TIMM8B"
"570","SPPL2B"
"571","STAG3L5P"
"572","RP11-35G9.5"
"573","DOCK1"
"574","SMNDC1"
"575","SPTBN4"
"576","RPL28"
"577","TBX2"
"578","HOOK2"
"579","ABCC10"
"580","AC116366.6"
"581","OPHN1"
"582","ZNF425"
"583","ACCS"
"584","AZIN2"
"585","FKRP"
"586","CDCA5"
"587","AP000662.4"
"588","FO538757.2"
"589","HMCN1"
"590","POLB"
"591","BRD1"
"592","DMXL2"
"593","SDF2L1"
"594","CUBN"
"595","ATP5G3"
"596","PRR4"
"597","TTC21A"
"598","TIMM10B"
"599","RAD23A"
"600","H2AFY2"
"601","ZNF445"
"602","DDX39B"
"603","C22orf29"
"604","TDRD5"
"605","RP11-165J3.6"
"606","ST3GAL3"
"607","PLEKHD1"
"608","S100A14"
"609","ELF5"
"610","ITIH4"
