"Name"	"Score"	"freq_up"
"RASSF6"	"RASSF6"	0.00188731366652653	5
"LINC00936"	"LINC00936"	0.00194599737097097	5
"MYBPHL"	"MYBPHL"	0.00196497831538525	4
"SLC5A1"	"SLC5A1"	0.0019681238161048	3
"RP11-285A1.1"	"RP11-285A1.1"	0.00197586924688825	6
"FAM166A"	"FAM166A"	0.0020179498669946	3
"UNC5C"	"UNC5C"	0.0020179498669946	4
"AC007405.4"	"AC007405.4"	0.00203668817605098	6
"SLC12A5"	"SLC12A5"	0.00203823697176456	4
"RP11-145M9.5"	"RP11-145M9.5"	0.0020630943667121	4
"APOL1"	"APOL1"	0.00206859147190471	6
"AC010884.1"	"AC010884.1"	0.00219515030460374	6
"RP11-1212A22.4"	"RP11-1212A22.4"	0.00221151117492998	5
"PLEKHG4B"	"PLEKHG4B"	0.0022169212850223	4
"CYCSP34"	"CYCSP34"	0.00238747782932449	7
"DUSP27"	"DUSP27"	0.00244642140929655	3
"ZNF709"	"ZNF709"	0.00248649340778728	6
"SHC4"	"SHC4"	0.00248649340778728	6
"ABI3"	"ABI3"	0.0025620530670972	3
"LRRC36"	"LRRC36"	0.00257876365077214	5
"RP11-5O17.1"	"RP11-5O17.1"	0.00259622488567475	5
"MUC19"	"MUC19"	0.00260827389405789	6
"TPRXL"	"TPRXL"	0.00260827389405789	5
"EPPIN"	"EPPIN"	0.00262117849294871	3
"KB-1991G8.1"	"KB-1991G8.1"	0.00265248917537547	5
"ENTPD8"	"ENTPD8"	0.00286654759894833	6
"DPEP2"	"DPEP2"	0.00294938323025114	4
"SMTNL1"	"SMTNL1"	0.00298192595465688	5
"SLC5A9"	"SLC5A9"	0.00299463419732898	3
"ZSCAN5D"	"ZSCAN5D"	0.00304779572185853	4
"LINC00494"	"LINC00494"	0.00305415711676026	6
"BMF"	"BMF"	0.00311471983782898	4
"RP11-380J14.1"	"RP11-380J14.1"	0.00322483144414861	5
"TMPRSS4"	"TMPRSS4"	0.00340105730157837	4
"RP11-285F16.1"	"RP11-285F16.1"	0.00340482742187679	5
"CCR7"	"CCR7"	0.00342920384819996	4
"RP13-16H11.8"	"RP13-16H11.8"	0.00347208686767558	3
"RP11-702B10.2"	"RP11-702B10.2"	0.00347208686767558	3
"PCDHB11"	"PCDHB11"	0.00350211251887896	5
"RP5-907D15.4"	"RP5-907D15.4"	0.00354407231727165	4
"RNU4-39P"	"RNU4-39P"	0.00356866043642046	5
"OR2A9P"	"OR2A9P"	0.003592557566762	6
"RP11-304F15.6"	"RP11-304F15.6"	0.00361358277270278	4
"XAF1"	"XAF1"	0.00365130672942255	4
"RP11-351J23.2"	"RP11-351J23.2"	0.00369093353024292	3
"DNAJC9-AS1"	"DNAJC9-AS1"	0.00376334832659551	6
"RP11-640L9.2"	"RP11-640L9.2"	0.00376582059007536	3
"HLA-DPA1"	"HLA-DPA1"	0.00384424010635037	4
"NDST3"	"NDST3"	0.00391853575219083	5
"RP11-61A14.4"	"RP11-61A14.4"	0.00392345126686249	5
"RP11-115J16.1"	"RP11-115J16.1"	0.00392345126686249	4
"H3F3BP1"	"H3F3BP1"	0.00394039623614362	5
"RP11-845M18.6"	"RP11-845M18.6"	0.00399637506668863	3
"IL10"	"IL10"	0.00400384288826832	4
"PGLYRP3"	"PGLYRP3"	0.00407520965494423	3
"CD74"	"CD74"	0.00415504508807063	4
"ALOX5"	"ALOX5"	0.00425892695839338	5
"SERPINI2"	"SERPINI2"	0.0042946645195275	5
"TNFRSF1B"	"TNFRSF1B"	0.00453936897091302	5
"LINC00886"	"LINC00886"	0.00455590426895975	4
"AC009237.8"	"AC009237.8"	0.00455590426895975	5
"AP000662.4"	"AP000662.4"	0.0045681835482379	6
"XXbac-B476C20.13"	"XXbac-B476C20.13"	0.00483042289936743	3
"TPSG1"	"TPSG1"	0.00492517781828576	5
"SLC1A2"	"SLC1A2"	0.00504886900328499	5
"AC092574.1"	"AC092574.1"	0.00506454377660531	4
"RP11-483F11.7"	"RP11-483F11.7"	0.00510087000041447	4
"RP11-770J1.4"	"RP11-770J1.4"	0.00511161263427044	5
"C1orf234"	"C1orf234"	0.00511273893702043	4
"ARHGEF38-IT1"	"ARHGEF38-IT1"	0.00528649210284526	4
"MIR27B"	"MIR27B"	0.00540149365840113	5
"AC011294.3"	"AC011294.3"	0.00547642371482552	3
"C9orf173-AS1"	"C9orf173-AS1"	0.00553435396373814	5
"HAPLN1"	"HAPLN1"	0.00560172830568751	5
"GATA6-AS1"	"GATA6-AS1"	0.00561317054000971	6
"LINC01605"	"LINC01605"	0.00567070768723109	3
"ADGRF1"	"ADGRF1"	0.00567070768723109	3
"ANKRD65"	"ANKRD65"	0.00576949513946041	3
"BMP2"	"BMP2"	0.00586938665144337	4
"SLC25A34"	"SLC25A34"	0.00594820914750043	5
"KRT14"	"KRT14"	0.00597038751788858	4
"CTD-2165H16.4"	"CTD-2165H16.4"	0.00616393693060916	5
"LUM"	"LUM"	0.00625945241375193	5
"PRR15L"	"PRR15L"	0.00637217714943157	4
"KLK5"	"KLK5"	0.00637217714943157	4
"ISLR"	"ISLR"	0.00638558994482864	3
"HAS2"	"HAS2"	0.00638558994482864	3
"CCDC73"	"CCDC73"	0.00660202373774203	5
"BDKRB1"	"BDKRB1"	0.00693018314619094	3
"IGBP1P1"	"IGBP1P1"	0.00695795727691041	4
"C3"	"C3"	0.00695795727691041	5
"RP11-131L23.1"	"RP11-131L23.1"	0.0070073352873238	5
"RANBP3L"	"RANBP3L"	0.00715611509138532	3
"RP11-534L20.4"	"RP11-534L20.4"	0.0072028221568839	5
"MIR1302-3"	"MIR1302-3"	0.00732756179156028	4
"STRA6"	"STRA6"	0.00738673434406661	4
"LGSN"	"LGSN"	0.00745385491220139	5
"SAA2"	"SAA2"	0.00750381449829034	3
"RP11-401P9.6"	"RP11-401P9.6"	0.00750381449829034	3
"RP11-259K15.2"	"RP11-259K15.2"	0.0075175876362938	4
"C9orf152"	"C9orf152"	0.00758171306233257	4
"VNN1"	"VNN1"	0.00762208179757992	5
"JAKMIP2"	"JAKMIP2"	0.00771114780631322	5
"NAMA"	"NAMA"	0.00777646002049831	4
"LINC00880"	"LINC00880"	0.00777646002049831	5
"CTA-363E6.2"	"CTA-363E6.2"	0.00786219813024657	5
"RP11-520D19.2"	"RP11-520D19.2"	0.0079082813834225	5
"RP5-919F19.5"	"RP5-919F19.5"	0.00798405727956371	3
"MX2"	"MX2"	0.00798405727956371	4
"AC010524.4"	"AC010524.4"	0.00817675252776089	4
"RP11-295H24.3"	"RP11-295H24.3"	0.00831342559981159	5
"IFI44L"	"IFI44L"	0.00855745616807185	2
"KRTAP5-1"	"KRTAP5-1"	0.00859170511721402	5
"RIN2"	"RIN2"	0.00887115832066624	4
"COL15A1"	"COL15A1"	0.0090028164264319	3
"DUSP15"	"DUSP15"	0.0090028164264319	3
"FAM71F1"	"FAM71F1"	0.00902163352243146	4
"SLC4A8"	"SLC4A8"	0.00909476649368655	4
"KRTAP3-2"	"KRTAP3-2"	0.00913572173260718	3
"RP11-422P24.10"	"RP11-422P24.10"	0.00925642617036649	5
"KRT16"	"KRT16"	0.0092698791573842	4
"CTD-2550O8.7"	"CTD-2550O8.7"	0.0092698791573842	3
"RP11-67C2.2"	"RP11-67C2.2"	0.00931672896761271	4
"CILP"	"CILP"	0.00950874913262324	5
"MROH3P"	"MROH3P"	0.00961871567395329	4
"TAGLN3"	"TAGLN3"	0.0096462960758025	2
"CAPS"	"CAPS"	0.00966267311266556	5
"RP11-585P4.6"	"RP11-585P4.6"	0.00976635346650484	6
"RIMKLB"	"RIMKLB"	0.00992768829331796	4
"RP11-713M15.1"	"RP11-713M15.1"	0.00992768829331796	4
"CDK2AP2P2"	"CDK2AP2P2"	0.0100060341154627	4
"PPP1R14D"	"PPP1R14D"	0.01024374175352	5
"C1GALT1P1"	"C1GALT1P1"	0.0102444508066631	4
"TNFRSF9"	"TNFRSF9"	0.010297711053743	5
"SLITRK6"	"SLITRK6"	0.0103888006515234	4
"RP11-96B2.1"	"RP11-96B2.1"	0.0105344462854769	4
"RP11-1055B8.4"	"RP11-1055B8.4"	0.0105716180855775	5
"MIR4768"	"MIR4768"	0.010681392495165	4
"RP13-516M14.2"	"RP13-516M14.2"	0.010738639992474	5
"FAM26E"	"FAM26E"	0.0108974722439298	6
"RP11-334C17.6"	"RP11-334C17.6"	0.0111300822490724	4
"APOLD1"	"APOLD1"	0.011282278366915	3
"MIR23B"	"MIR23B"	0.0115806718117836	4
