"","x"
"696","KCTD7"
"697","AC093901.1"
"698","RP11-679C8.2"
"699","MMAA"
"700","AP001628.6"
"701","DHTKD1"
"702","ANKAR"
"703","CTAGE7P"
"704","FNDC3A"
"705","FAM98C"
"706","ZNF354B"
"707","RP11-430B1.1"
"708","CTC-351M12.1"
"709","C12orf73"
"710","RP11-533E19.7"
"711","RP11-347C18.3"
"712","PLRG1"
"713","RP3-329A5.8"
"714","RP11-20I20.4"
"715","ZNF227"
"716","RP11-285E9.6"
"717","TRMU"
"718","AC009506.1"
"719","MYO1B"
"720","DNM1P35"
"721","LINC01588"
"722","RP11-529F4.1"
"723","RP11-356B19.11"
"724","CLCN5"
"725","NAA35"
"726","RP11-1007O24.2"
"727","RP11-24M17.4"
"728","RP11-435O5.4"
"729","TSSC2"
"730","UBAP2"
"731","CFL1P1"
"732","LA16c-321D4.2"
"733","MBD4"
"734","RP4-584D14.6"
"735","C2orf15"
"736","ALG1L9P"
"737","OPRD1"
"738","RP11-15E18.1"
"739","PAPOLG"
"740","EMC3-AS1"
"741","RP11-310P5.1"
"742","AC091729.9"
"743","HLA-K"
"744","RP11-486M23.1"
"745","RP11-234B24.2"
"746","EIF2B2"
"747","LRRC71"
"748","PDE11A"
"749","RP11-367J11.3"
"750","RP11-165F24.5"
"751","RP5-1050D4.5"
"752","AC007285.6"
"753","AC011247.3"
"754","NRG4"
"755","RAB41"
"756","KANSL1L"
"757","RP11-843B15.4"
"758","RP11-138I1.3"
"759","RPP25L"
"760","ADGRF3"
"761","AC139530.1"
"762","LINC00998"
"763","RP11-1E4.1"
"764","DUSP5P1"
"765","RP11-968A15.2"
"766","CTA-384D8.35"
"767","CHD8"
"768","SDSL"
"769","RP11-44N22.3"
"770","RP11-498C9.4"
"771","AC013448.1"
"772","GPR68"
"773","THAP2"
"774","RP11-121L10.2"
"775","TNFAIP3"
"776","LINC01431"
"777","ZNF383"
"778","ZSWIM6"
"779","ASPRV1"
"780","MTG2"
"781","PGF"
"782","LINC00337"
"783","RP11-352M15.2"
"784","CTD-2231E14.2"
"785","KANK2"
"786","RP13-20L14.4"
"787","MIR5697"
"788","RP11-21K12.2"
