"Name"	"Score"	"freq_dw"
"ABHD11"	"ABHD11"	0.289906667578253	1
"RP11-221N13.2"	"RP11-221N13.2"	0.289906667578253	1
"OSMR-AS1"	"OSMR-AS1"	0.289906667578253	1
"CAB39"	"CAB39"	0.296164466451736	1
"CTGF"	"CTGF"	0.296164466451736	1
"RP11-63A1.1"	"RP11-63A1.1"	0.296164466451736	1
"LINC01615"	"LINC01615"	0.296866952912338	3
"RP11-611O2.1"	"RP11-611O2.1"	0.300590532480945	1
"SULF2"	"SULF2"	0.302414345732797	1
"RP11-626G11.4"	"RP11-626G11.4"	0.302459210348502	1
"RP11-366L5.1"	"RP11-366L5.1"	0.308092662651256	2
"JPH3"	"JPH3"	0.308092662651256	1
"AMOT"	"AMOT"	0.308656312106047	1
"RHOA-IT1"	"RHOA-IT1"	0.308656312106047	3
"B3GALT1"	"B3GALT1"	0.308656312106047	1
"LINC01411"	"LINC01411"	0.309979582581332	1
"RP5-827C21.1"	"RP5-827C21.1"	0.309979582581332	1
"MYCBP2-AS1"	"MYCBP2-AS1"	0.309979582581332	1
"TMEM75"	"TMEM75"	0.311871035245053	1
"HLA-V"	"HLA-V"	0.314890372253274	1
"LINC01405"	"LINC01405"	0.314890372253274	2
"RP11-691N7.6"	"RP11-691N7.6"	0.314890372253274	2
"AF146191.4"	"AF146191.4"	0.314890372253274	3
"AC026954.6"	"AC026954.6"	0.315667494398456	1
"RP11-241I20.1"	"RP11-241I20.1"	0.317572478721819	1
"RP11-93B14.10"	"RP11-93B14.10"	0.319481951446187	2
"LIMA1"	"LIMA1"	0.321116532853443	1
"ZNF887P"	"ZNF887P"	0.321116532853443	2
"RP11-473O4.4"	"RP11-473O4.4"	0.321395901509569	3
"CHST13"	"CHST13"	0.326718212068465	1
"CLEC3B"	"CLEC3B"	0.327334800582697	2
"RP11-329A14.1"	"RP11-329A14.1"	0.327334800582697	3
"TUBB2B"	"TUBB2B"	0.333545182114358	2
"IL12A"	"IL12A"	0.333545182114358	2
"RP1-90G24.6"	"RP1-90G24.6"	0.333545182114358	1
"TFCP2L1"	"TFCP2L1"	0.339747684118924	3
"RP3-425P12.4"	"RP3-425P12.4"	0.339747684118924	1
"RP11-269F19.2"	"RP11-269F19.2"	0.342741701327139	1
"RNU2-27P"	"RNU2-27P"	0.34470851970521	1
"MIR621"	"MIR621"	0.34594231326407	1
"RP11-446N19.1"	"RP11-446N19.1"	0.348655148428688	1
"NR6A1"	"NR6A1"	0.352129076214653	2
"LMO1"	"LMO1"	0.352129076214653	1
"MIR3680-1"	"MIR3680-1"	0.356600067624559	3
"TPRG1"	"TPRG1"	0.358307979632702	1
